time,open,high,low,close,volume
2023-02-03 13:40:00,104.79,105.19,104.745,105.031,459967
2023-02-03 13:35:00,105.17,105.17,104.77,104.79,458248
2023-02-03 13:30:00,105.54,105.58,105.15,105.1799,290654
2023-02-03 13:25:00,105.53,105.695,105.45,105.53,289134
2023-02-03 13:20:00,105.64,105.77,105.52,105.524,396861
2023-02-03 13:15:00,105.35,105.65,105.25,105.63,367416
2023-02-03 13:10:00,105.48,105.645,105.28,105.37,462541
2023-02-03 13:05:00,105.555,105.72,105.425,105.47,404540
2023-02-03 13:00:00,106.22,106.26,105.45,105.56,495565
2023-02-03 12:55:00,106.225,106.4,106.14,106.2185,274839
2023-02-03 12:50:00,106.16,106.46,106.13,106.22,347120
2023-02-03 12:45:00,105.94,106.18,105.855,106.16,319373
2023-02-03 12:40:00,106.03,106.12,105.9124,105.945,359465
2023-02-03 12:35:00,106.4723,106.4723,105.99,106.04,531907
2023-02-03 12:30:00,106.58,106.69,106.45,106.47,315375
2023-02-03 12:25:00,106.6,106.68,106.4,106.59,404216
2023-02-03 12:20:00,106.9,106.92,106.54,106.5971,364961
2023-02-03 12:15:00,106.885,107.08,106.76,106.9,479826
2023-02-03 12:10:00,106.75,107.095,106.68,106.89,487149
2023-02-03 12:05:00,106.73,106.99,106.6,106.75,511905
2023-02-03 12:00:00,106.97,107.1599,106.65,106.72,472742
2023-02-03 11:55:00,107.06,107.32,106.95,106.9675,424453
2023-02-03 11:50:00,107.49,107.59,107.05,107.07,542341
2023-02-03 11:45:00,107.39,107.655,107.08,107.4796,535139
2023-02-03 11:40:00,107.46,107.81,107.23,107.39,1031651
2023-02-03 11:35:00,106.89,107.48,106.76,107.46,594807
2023-02-03 11:30:00,106.8397,107.06,106.53,106.87,690942
2023-02-03 11:25:00,107.06,107.07,106.8,106.835,521502
2023-02-03 11:20:00,106.63,107.11,106.63,107.05,524497
2023-02-03 11:15:00,106.98,106.99,106.52,106.63,544438
2023-02-03 11:10:00,106.655,107.166,106.54,106.99,690106
2023-02-03 11:05:00,106.45,106.8111,106.4,106.6569,606895
2023-02-03 11:00:00,106.33,106.62,106.24,106.45,798591
2023-02-03 10:55:00,106.995,106.995,106.29,106.32,833069
2023-02-03 10:50:00,106.635,107.16,106.62,106.9989,829558
2023-02-03 10:45:00,107.4112,107.57,106.5929,106.63,1396895
2023-02-03 10:40:00,106.76,107.49,106.76,107.42,1552607
2023-02-03 10:35:00,106.215,106.815,106.2004,106.77,996284
2023-02-03 10:30:00,106.84,106.935,106.1916,106.21,1270902
2023-02-03 10:25:00,105.86,106.85,105.78,106.84,1163201
2023-02-03 10:20:00,105.08,106.2798,105.07,105.85,1235344
2023-02-03 10:15:00,105.15,105.26,104.47,105.1079,1068362
2023-02-03 10:10:00,105.225,105.29,102.96,105.15,1319770
2023-02-03 10:05:00,105.66,105.66,104.86,105.23,1704498
2023-02-03 10:00:00,105.33,106.25,105.27,105.67,2178513
2023-02-03 09:55:00,104.605,105.32,104.44,105.28,2091683
2023-02-03 09:50:00,103.61,104.79,103.53,104.6,2715906
2023-02-03 09:45:00,103.1381,103.8,102.94,103.62,2035574
2023-02-03 09:40:00,103.26,103.32,102.58,103.1201,1538619
2023-02-03 09:35:00,102.93,103.6787,102.76,103.23,3828583
2023-02-03 09:30:00,103.04,103.33,102.75,102.92,238568
2023-02-03 09:25:00,103.03,103.12,102.99,103.09,53175
2023-02-03 09:20:00,103.07,103.36,102.88,102.935,121953
2023-02-03 09:15:00,103.0,103.15,102.59,103.11,83699
2023-02-03 09:10:00,103.16,103.25,102.99,103.0,48144
2023-02-03 09:05:00,103.28,103.3,103.0,103.3,32191
2023-02-03 09:00:00,103.4,103.41,103.2,103.32,53376
2023-02-03 08:55:00,103.1,103.5,103.09,103.5,34119
2023-02-03 08:50:00,103.4041,103.65,103.12,103.12,131621
2023-02-03 08:45:00,103.9,103.9,103.48,103.5,46653
2023-02-03 08:40:00,103.75,103.9,103.56,103.82,110326
2023-02-03 08:35:00,104.25,104.5,103.42,103.73,212146
2023-02-03 08:30:00,104.0703,104.4,104.0703,104.25,42486
2023-02-03 08:25:00,104.3003,104.36,104.1,104.1,55793
2023-02-03 08:20:00,104.61,104.63,104.3,104.3,58242
2023-02-03 08:15:00,104.43,104.9,104.43,104.58,59898
2023-02-03 08:10:00,104.4,104.5,104.32,104.5,16680
2023-02-03 08:05:00,102.9999,104.5,102.57,104.41,110707
2023-02-03 08:00:00,104.0,104.41,104.0,104.41,22153
2023-02-03 07:55:00,104.39,104.39,104.08,104.08,16105
2023-02-03 07:50:00,104.0,104.3,104.0,104.19,21393
2023-02-03 07:45:00,103.7,103.99,103.7,103.99,15242
2023-02-03 07:40:00,103.7,103.7,103.59,103.6,8012
2023-02-03 07:35:00,103.82,103.85,103.54,103.6,25919
2023-02-03 07:30:00,103.86,103.86,103.74,103.86,23083
2023-02-03 07:25:00,103.82,103.87,103.79,103.83,21093
2023-02-03 07:20:00,103.89,103.99,103.8,103.82,18842
2023-02-03 07:15:00,103.89,103.9,103.75,103.9,21839
2023-02-03 07:10:00,103.5,103.89,103.1,103.81,30610
2023-02-03 07:05:00,103.05,103.5,102.88,103.5,55949
2023-02-03 07:00:00,102.99,103.03,102.97,103.01,3736
2023-02-03 06:55:00,102.99,102.99,102.94,102.94,849
2023-02-03 06:50:00,103.06,103.06,102.88,102.88,4855
2023-02-03 06:45:00,103.12,103.16,103.01,103.01,17263
2023-02-03 06:40:00,103.12,103.32,103.02,103.3,8187
2023-02-03 06:35:00,103.12,103.25,103.02,103.2,14346
2023-02-03 06:30:00,103.11,103.15,102.95,103.15,5480
2023-02-03 06:25:00,103.04,103.16,103.04,103.16,1210
2023-02-03 06:20:00,102.95,102.95,102.95,102.95,1250
2023-02-03 06:15:00,102.92,102.92,102.85,102.86,5868
2023-02-03 06:10:00,102.91,102.97,102.91,102.97,3258
2023-02-03 06:05:00,103.1,103.1,103.0,103.0,2459
2023-02-03 06:00:00,103.08,103.13,103.08,103.13,1234
2023-02-03 05:55:00,103.14,103.14,103.01,103.01,2279
2023-02-03 05:50:00,103.36,103.36,103.14,103.18,1638
2023-02-03 05:45:00,103.36,103.43,103.33,103.42,9205
2023-02-03 05:35:00,103.21,103.49,103.06,103.49,4879
2023-02-03 05:30:00,103.32,103.32,103.22,103.25,4700
2023-02-03 05:15:00,103.5,103.5,103.35,103.4,4391
2023-02-03 05:10:00,103.68,103.7,103.55,103.55,4564
2023-02-03 05:05:00,103.48,104.0,103.43,103.52,7822
2023-02-03 05:00:00,103.52,103.52,103.5,103.51,3256
2023-02-03 04:55:00,103.31,103.5,103.25,103.5,6357
2023-02-03 04:50:00,103.49,103.6,103.3,103.3,6852
2023-02-03 04:45:00,103.59,103.64,103.43,103.43,4123
2023-02-03 04:40:00,103.28,103.41,103.2,103.41,5893
2023-02-03 04:35:00,103.04,103.2,103.0,103.2,4551
2023-02-03 04:30:00,102.99,103.05,102.98,103.01,9482
2023-02-03 04:25:00,102.9,103.09,102.81,103.0,11678
2023-02-03 04:20:00,102.61,102.93,102.61,102.93,2884
